job_title,experience,salary,location,job_description,tech_stack
Cloud DevOps Engineer,5-7 Yrs ,Not disclosed ,,Technology Stack The application required the following technologies: Cloud Plat...,"['Version control', 'GIT', 'orchestration', 'project support', 'devops', 'Cloud', 'Issue resolution', 'AWS']"
Senior DevOps Engineer - AWS,5-10 Yrs ,Not disclosed ,,Education qualification: BE /B Tech / MCA / MSc / M Tech. 5-8 years of experience in De...,"['Devops', 'Cloud', 'AWS', 'S3', 'Github', 'Cloud Infrastructure', 'Jenkins', 'Cloud Computing']"
DevOps Architect,5-9 Yrs ,Not disclosed ,,Desired Skills and ExperienceDeep understanding of cloud and cloud native principles an...,"['DevOps', 'Xen', 'Docker compose', 'Nginx', 'VMWare', 'Tomcat', 'KVM', 'Docker']"
Associate Java & DevOps Programmer Analyst,4-7 Yrs ,Not disclosed ,,The Boeing Company is currently seeking a high performing Associate Java & DevOps Progr...,"['Java', 'TFS', 'Maven', 'Agile methodologies', 'SQL', 'Jenkins', 'DevOps', 'Core Java']"
Tech Lead-DevOps,9-12 Yrs ,Not disclosed ,,entomo is a people experience platform built for the digital world of work. Powering 3...,"['DevOps', 'Aws Devops', 'Linux', 'CI/CD', 'Team Leading', 'Team Management', 'Cd', 'Technical analysis']"
SRE- DevOps Engineer,3-8 Yrs ,Not disclosed ,,"Experience with technologies like ElastiCache Redis, Mongo DB, DynamoDB and OpenSearch....","['Devops', 'Kubernetes', 'Aws Devops', 'Docker', 'Sre', 'Prometheus', 'Helm', 'Grafana']"
Senior DevOps Engineer (Linux),4-6 Yrs ,Not disclosed ,,"Extensive experience in setting up and maintaining CI / CD pipelines using Jenkins, Git...","['Linux', 'Jenkins', 'Docker', 'Bash', 'Python', 'Kubernetes', 'Senior', 'Devops']"
Senior Devops Engineer For MS Power Platform,8-10 Yrs ,Not disclosed ,,SDLC - Complete . Devops - Must since they would be primary a developer but also would ...,"['Architecture', 'devops', 'Manager Technology', 'power bi', 'SDLC', 'Microsoft', 'Management', 'Technology']"
Senior DevOps Engineer,5-8 Yrs ,Not disclosed ,,Must have 5 years of hands-on experience in the field of DevOps At least 4 year...,"['TCP', 'GIT', 'LDAP', 'devops', 'PAAS', 'Cloud', 'DNS', 'SSH']"
Senior DevOps Engineer I,4-8 Yrs ,Not disclosed ,,Experience facilitating technical and planning meetings to identify best outcomes . Str...,"['operational support', 'Publishing', 'GIT', 'GCP', 'devops', 'Agile', 'Infrastructure', 'Healthcare']"
Sr DevOps Engineer,9-13 Yrs ,Not disclosed ,,"5+ years of experience in a similar role. Plan, implement, and maintain the software de...","['Unix', 'Automation', 'Software design', 'Linux', 'MySQL', 'Perl', 'Troubleshooting', 'Ruby']"
Senior Devops Engineer (CK),3-7 Yrs ,Not disclosed ,,"Responsibilities:Solution design, architecture blueprints, cost estimates of the compo...","['Cost Optimization', 'AWS', 'Bash Scripting', 'FinOps', 'Devops Automation', 'Cost', 'Optimization', 'Senior']"
Senior Devops Engineer,5-8 Yrs ,Not disclosed ,,RAVSoft Solutions is focused on providing innovative and high quality software solution...,"['Terraform', 'Devops', 'Python', 'Ansible', 'Helm Charts', 'aws', 'Azure Devops', 'Kubernetes']"
Sr. DevOps Engineer,8-13 Yrs ,Not disclosed ,,"Experience with monitoring / alerting system such as Datadog, Opsgenie, Prometheus, etc...","['GCP', 'AWS', 'Cloud Infrastructure', 'Python', 'Devops', 'SR', 'Infrastructure', 'Cloud']"
Senior Devops Engineer,5-8 Yrs ,15-25 Lacs PA ,,We at Heady are looking for an experienced and knowledgeable Senior DevOps Engineer for...,"['Docker', 'devops', 'Kubernetes', 'Devops And Deployment', 'ux', 'unix administration', 'sql', 'ruby']"
Sr Devops Engineer,5-8 Yrs ,Not disclosed ,,andidates datecandidates datesimmediatelyimmediately availableavailableRole & responsib...,"['Kubernetes', 'Docker', 'devops', 'SR']"
Lead DevOps Engineer,5-7 Yrs ,Not disclosed ,,we see DevOps as a methodology that unites operations and development to automate every...,"['DevOps', 'Jenkins', 'Terraform', 'Linux', 'Shell Scripting', 'GitHub', 'Ansible', 'Python']"
Devops Engineer,4-10 Yrs ,Not disclosed ,,Collecting and reviewing customers feedback to enhance user experience,"['Manager Quality Assurance', 'devops', 'Conceptualization', 'Quality assurance', 'Management', 'Quality management', 'Assurance', 'Quality']"
Infrastructure Specialist: AWS DevOps,5-9 Yrs ,Not disclosed ,,"Your Role and ResponsibilitiesDefine, analyze and review technical architecture on requ...","['Automation', 'Linux', 'Technical architecture', 'Python', 'AWS DevOps', 'AWS CloudWatch', 'ansible', 'hybrid cloud']"
Microsoft Azure DevOps Application Developer,2-5 Yrs ,Not disclosed ,,"Work Experience : 5-4 years Professional Attributes : Good Communication skills, leader...","['DevOps', 'Version control', 'GIT', 'Release management', 'continuous integration', 'Linux', 'Docker', 'Google Cloud Platform']"
AWS DevOps Consultant,7-9 Yrs ,Not disclosed ,,Bachelor of Engineering Should have experience with either ElasticsearchShould have exp...,"['GIT', 'Agile', 'Scalability', 'ECS', 'devops', 'Chef', 'Automation tools', 'Cloud']"
Devops Lead,10-15 Yrs ,Not disclosed ,,Role & responsibilities : 10+ years of strong experience in DevOps.• Experience workin...,"['Devops', 'Kubernetes', 'Scripting', 'Aws Devops', 'Cloud', 'Ci/Cd', 'AWS', 'Continuous Integration']"
Devops Architect (immediate),5-10 Yrs ,10-15 Lacs PA ,,This is very urgent requirement for one of the MNC client (only Permanent employees) . ...,"['Jenkins/GitLab', 'AWS', 'Terraform/CloudFormation', 'Python/Bash', 'Kubernetes', 'Git', 'CI/CD', 'Gitlab']"
Azure Devops Engineer,5-10 Yrs ,"60,000-70,000 PA ",,Ample experience in crafting CI / CD pipelines including automated infrastructure testi...,"['Terraform', 'Docker', 'Ansible', 'Cicd Pipeline', 'Azure Devops', 'VMware', 'Azure', 'Azure Infrastructure']"
ALM - DevOps Engineer,4-8 Yrs ,Not disclosed ,,"Docker, Ansible, HelmChart, Helm, Kubernetes, Chef, Shell ScriptingExperience in ALM im...","['DevOps', 'Java', 'ALM', 'confluence', 'Shell Scripting', 'Github', 'Chef', 'J2EE']"
ALM DevOps Engineer,4-8 Yrs ,Not disclosed ,,"Docker, Ansible, HelmChart, Helm, Kubernetes, Chef, Shell ScriptingExperience in ALM im...","['DevOps', 'Shell Scripting', 'Chef', 'ALM DevOps Engineer', 'J2EE', 'Docker', 'Linux', 'Terraform']"
"Looking For a DevOps/Cloud Developer, we found YOU!",7-10 Yrs ,Not disclosed ,,"DevOps / Cloud Developer:Design, Develop, and integrate all applications to utilize th...","['Azure Cloud', 'Devops', 'Python', 'Kubernetes', 'Jenkins', 'Aws Cloud', 'Terraform', 'Ansible']"
Devops Lead,8-11 Yrs ,Not disclosed ,,"10 experience as a DevOps Engineer / Architect or similar role, with a focus on automat...","['Azure', 'DevOps Engineer', 'Terraform', 'GCP', 'AWS', 'Devops', 'Microsoft Azure']"
DevOps Sr. Engineer - AWS,6-10 Yrs ,Not disclosed ,,"Design, build, and maintain scalable, highly available, and secure AWS infrastructu...","['Networking', 'Configuration management', 'devops', 'Automation tools', 'Agile', 'Deployment', 'Scrum', 'AWS']"
Senior Consultant - DevOps,7-10 Yrs ,Not disclosed ,,Should have experience of deploying WAR and JAR files on JBOSS Application server . Des...,"['DevOps', 'Xen', 'Nginx', 'Tomcat', 'KVM', 'ELK', 'Chef', 'Groovy']"
Azure Devops Engineer,5-10 Yrs ,Not disclosed ,,Shift Time: 2pm-11pm Experience:5-10years,"['Cicd Pipeline', 'Aks Deployment', 'Helm Charts', 'Azure Devops', 'Deployment', 'Pipeline', 'Microsoft Azure', 'CI/Cd']"
Senior DevOps Engineer - Azure,5-8 Yrs ,Not disclosed ,,"Experience in building, deploying and monitoring Azure services with strong IaaS and Pa...","['Azure Infrastructure', 'Azure DB', 'Azure Devops', 'Azure Pipelines', 'Azure Public Cloud', 'Redis Cache', 'Powershell Scripting', 'SQL']"
Microsoft Azure DevOps Application Developer,4-6 Yrs ,Not disclosed ,,Technical Experience : 5-6 years Sr Infra consultant for Landing Zone set-up on custome...,"['Azure', 'DevOps', 'kubernetes', 'enterprise security', 'terraform', 'azure devops', 'Microsoft Azure', 'Microsoft Azure Devops']"
Senior DevOps Engineer - AWS,7-12 Yrs ,Not disclosed ,,Pro-level certification or requisite knowledge in at least one of the aboveExperience i...,"['Automation', 'Linux', 'Networking', 'Configuration management', 'LAN', 'DNS', 'Windows', 'Release management']"
AWS Infra DevOps Engineer,8-13 Yrs ,Not disclosed ,,Greetings from TATA Consultancy Services!!Role: Cloud Infra Engineer/ArchitectExp: 8 t...,"['Devops Jenkins', 'Aws Devops', 'Cicd Pipeline', 'Terraform', 'Ansible', 'Devops Tools', 'Pipeline', 'Tools']"
Cloud DevOps Architect,9-14 Yrs ,9.5-19 Lacs PA ,,Job Title: Azure - Cloud DevOps ArchitectJob Location: Pune/BangaloreExperience Requir...,"['Kubernates', 'Docker', 'Azure Devops', 'Microsoft Azure', 'Cloud', 'Architecture', 'Devops']"
Hiring For DevOps AWS Engineer,5-10 Yrs ,Not disclosed ,,"Skill: DevOps AWS EngineerExp: 5-10 YearsNP: Immediate joinersBudget: 5-7 Yrs - 24L, 8...","['Jenkins', 'DevOps AWS Engineer', 'Extensive AWS Services', 'Terraform', 'Ansible', 'Cloud Formation', 'Notifications', 'Monitoring']"
Infrastructure Specialist: Google DevOps,6-10 Yrs ,Not disclosed ,,"Define, analyze and review technical architecture on required platform and coming up wi...","['cloud security', 'Agile', 'Technical architecture', 'Python', 'Java', 'Software development', 'Network security', '.Net']"
