profile,job_title,experience,salary,location,job_description,tech_stack
DS,Senior Data Scientist,6-11 Yrs ,,,Skills . Must have English: C2 Proficient Experience in working with cloud computing r...,"['Cloud computing', 'deep learning', 'Statistical analysis', 'data science', 'GCP', 'Consulting', 'Machine learning', 'Data quality']"
DS,Sr.Data Scientist,4-5 Yrs ,,,". Unwavering Data Sanctity: Ensure impeccable data integrity and security, because prec...","['B2B Marketing', 'Computer science', 'Statistical analysis', 'data science', 'Equity', 'Predictive modeling', 'big data', 'Analytics']"
DS,Data Scientist - I,3-4 Yrs ,,,The AI Team at Chubb is seeking a highly skilled and experienced Deep Learning Engin...,"['Business services', 'deep learning', 'C++', 'Claims', 'Analytical', 'Machine learning', 'Data collection', 'Actuarial']"
DS,Staff Battery Data Scientist,3-5 Yrs ,,,Required Experience and Skills . PhD or master s in computer science (or related fields...,"['C++', 'Data analysis', 'SOC', 'Agile', 'Perl', 'Firmware', 'MATLAB', 'Analytics']"
DS,Data Scientist,3-5 Yrs ,,,You should be passionate about working with data sets and be someone who loves to bring...,"['Computer science', 'Prototype', 'GIT', 'Analytical', 'Machine learning', 'Information retrieval', 'Data quality', 'Forecasting']"
DS,Data Scientist,3-5 Yrs ,,,"Ability to sift through data, identify critical information, analyze, develop hypothesi...","['Operations research', 'Simulation', 'Data management', 'Analytical', 'German', 'Spanish', 'Continuous improvement', 'Analytics']"
DS,Data Scientist,2-4 Yrs ,,,"Hands on development experience in Python and packages such as NumPy, Sci-Kit Learn and...","['Computer vision', 'Performance tuning', 'deep learning', 'data science', 'Analytical', 'Machine learning', 'Packaging', 'Data structures']"
DS,Data Scientist AI ML NLP,3-5 Yrs ,,,Experience working with Text Data using transformer-based model . Education and Work E...,"['Text mining', 'Logistic regression', 'LMS', 'PDF', 'Machine learning', 'Healthcare', 'Data mining', 'Forecasting']"
DS,Data Scientist,10-12 Yrs ,,,"As a Data Scientist specializing in Customer and Marketing Analytics, you will ...","['SAN', 'customer analytics', 'Analytical', 'Predictive modeling', 'Digital marketing', 'SQL', 'Python', 'Modeling']"
DS,Data Scientist,3-6 Yrs ,,,Experience converting a business idea into a functional end-2-end AI project . Experien...,"['Product management', 'Quality monitoring', 'Machine learning', 'Radiology', 'Healthcare', 'Natural language processing', 'Data quality', 'Continuous improvement']"
DS,Lead - Applied Data Scientist,3-6 Yrs ,,,- Engaging with business functional partners to understand business priorities; ask r...,"['Business services', 'Analytical', 'microsoft', 'Powerpoint', 'Continuous improvement', 'Forecasting', 'Operations', 'SQL']"
DS,Senior Data Scientist,6-10 Yrs ,,,"Bachelor s degree in a quantitative discipline, preferably Computer Science . 6-10 year...","['Supply chain', 'Procurement', 'Product management', 'Production planning', 'Project management', 'Analytical', 'Consulting', 'Project delivery']"
DS,Data scientist,5-8 Yrs ,,,. 5+ years of relevant experienceExperience in building MLOpsExperience with deployment...,"['data scientist', 'Pyspark', 'deep learning', 'MLOPS', 'Data science', 'machine learning', 'Python', 'SQL']"
DS,Data Scientist,2-7 Yrs ,,,Role & responsibilities Work with internal business teams to understand problem statem...,"['Data Science', 'Tensorflow', 'Cnn', 'Decision Tree', 'Artificial Intelligence', 'Natural Language Processing', 'Neural Networks', 'Machine Learning']"
DS,Data Scientist,2-4 Yrs ,,,Experience converting a business idea into a functional end-2-end AI project . Experien...,"['Product management', 'Quality monitoring', 'Machine learning', 'Radiology', 'Healthcare', 'Natural language processing', 'Data quality', 'Continuous improvement']"
DS,NLP Data Scientist,5-10 Yrs ,,,We are seeking a skilled Deep Learning and NLP Data Scientist to join our team. The...,"['Supply chain', 'SAN', 'Data analysis', 'Project management', 'Consulting', 'SMS', 'Analytics', 'Private equity']"
DS,Data Scientist,6-8 Yrs ,,,graduate degree in Data Science or other quantitative field is preferredMinimum six plu...,"['Computer science', 'GIT', 'Project management', 'Machine learning', 'Agile', 'Business intelligence', 'Data mining', 'Analytics']"
DS,We are looking For Data Scientist - Product Company Bangalore 6 To 12,6-11 Yrs ,,,"Design, develop, and deploy robust and scalable Python-based solutions for AI and ML a...","['Artificial Intelligence', 'Python', 'Azure', 'Natural Language Processing', 'AWS', 'Microsoft Azure', 'Intelligence', 'Data']"
DS,Data Scientist - Sr Associate,4-8 Yrs ,,,"As Senior Associate - Delivery, you will be responsible for a wide range of engagements...","['Machine Learning', 'Python', 'SQL', 'Power Bi', 'Tableau', 'Statistics', 'Bi', 'SR']"
DS,TS -Data Scientist,6-11 Yrs ,,,"Scala Spark/Pyspark; ; Graph Analytics (using networkX, Neo4j or similar graphDB); Expo...","['Data Science', 'SCALA', 'Pyspark', 'TS', 'Science', 'Data']"
DS,Data Scientist,8-10 Yrs ,,,Exp in the financial/Banking domain Data Science min 4 yrs. Exp i...,"['IT services', 'MIN', 'data science', 'Finance', 'Banking', 'Science', 'Data']"
DS,Data Scientist,3-4 Yrs ,,,"The candidate should have a strong background in statistical analysis, data modeling, a...","['IT services', 'Analytical skills', 'deep learning', 'Statistical analysis', 'Data modeling', 'Database design', 'Analytical', 'Machine learning']"
DS,Senior Data Scientist,5-8 Yrs ,,,Be adaptable and willing to shift focus when necessary to achieve rapid progress Profic...,"['SAN', 'Data analysis', 'Publishing', 'GIT', 'MySQL', 'Customer retention', 'Scheduling', 'Data mining']"
DS,Data Scientist 3 - DS3,4-6 Yrs ,,,"Requirements: . Bachelors or Master s degree in Computer Science, Statistics or Mathema...","['Unix', 'Linux', 'Coding', 'Machine learning', 'Customer service', 'Analytics', 'SQL', 'Python']"
DS,Data Scientist,2-7 Yrs ,,,. Extensive experience in applying state-of-the-art supervised and unsupervised machine...,"['Coding', 'Project management', 'Process improvement', 'Machine learning', 'Data collection', 'SIP', 'Stakeholder management', 'Release management']"
DS,Data Scientist - II,3-6 Yrs ,,,AI Data Scientist is a technical job that uses machine learning techniques to automat...,"['Computer science', 'Business services', 'Data analysis', 'Business analytics', 'Machine learning', 'Actuarial', 'Risk management', 'Portfolio management']"
DS,Senior Data Scientist,3-5 Yrs ,,,". Proficiency in Python and data science libraries (e.g., pandas, numpy, scikit-learn) ...","['Data analysis', 'data science', 'Machine learning', 'Hypothesis Testing', 'Predictive modeling', 'Data quality', 'Regression analysis', 'data visualization']"
DS,Data Scientist,3-8 Yrs ,,,"Utilize Python for data manipulation, analysis, and model development, demonstrating pr...","['Natural Language Processing', 'Demand Forecasting', 'Machine Learning', 'Deep Learning', 'Python', 'Predictive Modeling', 'Logistic Regression', 'Time Series Analysis']"
DS,NLP Data Scientist,5-7 Yrs ,,,"Basic Qualifications: Graduate in Computer Science, Statistics, Computer Engineering, E...","['natural language processing', 'Content search', 'Semantic search', 'Elasticsearch', 'Query expansion', 'text mining', 'data engineering', 'Searching']"
DS,Data Scientist,3-7 Yrs ,,,Please find the job description below.Role-Data ScientistLocation: BangaloreMode of Wor...,"['Machine Learning', 'Deep Learning', 'Python', 'SQL', 'SQL Queries', 'Query', 'Machine', 'Data']"
DS,Lead Data Scientist,1-3 Yrs ,,,"Requirements: . Bachelors degree in Computer Science, Statistics, Mathematics, or a rel...","['Supply chain', 'Product management', 'Data analysis', 'Data modeling', 'Project management', 'Analytical', 'Consulting', 'Management consulting']"
DS,Lead Data scientist / ML engineer -- US MNC (analytics),5-10 Yrs ,,,"Has experience working on unstructured data ( text ): Text cleaning, TFIDF, text vector...","['Python', 'Tensorflow', 'Predictive Modeling', 'Matplotlib', 'Pyspark', 'Natural Language Processing', 'Neural Networks', 'Machine Learning']"
DS,Applied Data Scientist,2-7 Yrs ,,,"As a senior applied data scientist, you will work on novel problems that will propel...","['Automation', 'metadata', 'Managed services', 'Prototype', 'Linux', 'Image processing', 'Coding', 'Machine learning']"
DS,Data Scientist,12-16 Yrs ,,,Proven experience as a Data Scientist with a strong emphasis on architectural responsib...,"['Data Science', 'GenAI', 'python', 'llm', 'artificial intelligence', 'r', 'nlp', 'java']"
DS,Data Scientist,3-6 Yrs ,,,"Bachelor s Degree in a Quantitative discipline, preferably Computer Science . 3 years ...","['Supply chain', 'Engineering services', 'deep learning', 'SAN', 'data science', 'Data modeling', 'Project management', 'Consulting']"
DS,Data Scientist,3-4 Yrs ,,,"Coding experience in Java, Java Script (2-3 years) and Python (3-4 years)","['Coding', 'GCP', 'Machine learning', 'Javascript', 'Workflow', 'Deployment', 'AWS', 'Bpm']"
DS,Research Scientist - Machine Learning / Artificial Intelligence,3-8 Yrs ,,,Experience/qualifications requirements :- 3 to 11+ years of experience.- MS/Phd in Comp...,"['Java', 'C++', 'Data Scientist', 'Artificial Intelligence', 'Machine Learning', 'Data Management', 'Algorithm', 'Data Structure']"
DS,Senior Scientist / NLP / Machine Learning / Data Mining Professional,2-7 Yrs ,,,"Basic Qualifications:- A MS in CS Machine Learning / NLP, Statistics, Operational Resea...","['Java', 'Data Mining', 'Machine Learning', 'NLP', 'Python', 'C++', 'software development', 'SAS']"
DS,Image Analysis Scientist - Image Processing/Pattern Recognition,8-12 Yrs ,,,Image Analysis Scientist - Image Processing/Pattern Recognition - Biometric Application...,"['Image Processing', 'AFE', 'C/C++', '2D/3D Biometric Applications', 'product cycle', 'image analysis algorithms', 'Process', 'Biometrics']"
DS,Speech Scientist - Artificial Intelligence/Machine Learning,3-8 Yrs ,,,#NAME?,"['Python', 'Java', 'C++', 'Artificial General Intelligence', 'Artificial Intelligence', 'Neural Networks', 'data structures', 'Machine Learning']"
DS,Machine Learning Scientist - R/Python,4-9 Yrs ,,,"Major responsibilities: - Use machine learning, data mining and statistical techniques ...","['Machine Learning', 'Java', 'C++', 'R', 'eCommerce', 'Data Scientist', 'Data Management', 'Perl']"
DS,Senior Data Scientist,8-10 Yrs ,,,"Very good knowledge on SQL-Joins, indexing, rank vs. dense rank, row number, stored pro...","['IT services', 'Analytical', 'Machine learning', 'CMMI', 'Healthcare', 'Forecasting', 'Financial services', 'SQL']"
DS,Data Scientist,8-10 Yrs ,,,"Very good knowledge on SQL-Joins, indexing, rank vs. dense rank, row number, stored pro...","['IT services', 'Analytical', 'Machine learning', 'CMMI', 'Healthcare', 'Forecasting', 'Financial services', 'SQL']"
DS,Junior Data Scientist (FMCG/CPG Domain),2-4 Yrs ,,,Work Location: Bangalore4) Junior Data Scientist (2 - 4 Years Experience) - Full-TimeRe...,"['Power BI', 'Azure', 'Time series Forecasting', 'Predictive Maintenance', 'Data Scientist', 'Tableau', 'AWS', 'Optimization']"
DS,Data Scientist,4-9 Yrs ,,,Through knowledge of machine learning operations is a must. . Must understand how to cr...,"['Python', 'Statistical modeling', 'data science', 'Coding', 'Time series analysis', 'Machine learning', 'Data processing', 'SQL']"
DS,"Quants, Sports Data Scientist",2-6 Yrs ,,,"Undertaking data collection, preprocessing and analysis Building models to address ...","['Machine learning', 'Data collection', 'data visualization', 'Collections', 'Data', 'Machine', 'Sports']"
DS,Senior Data Scientist,8-10 Yrs ,,,Should have analyzed the performance of this deployed model and deduced prescriptive ML...,"['MS SQL', 'data science', 'RDBMS', 'MySQL', 'Agile', 'CMMI', 'Healthcare', 'HTML']"
DS,Data Scientist,3-5 Yrs ,,,Demonstrated ability to work well in a global team environment. Should be a self-starte...,"['data cleansing', 'Operations research', 'Data modeling', 'Time series analysis', 'Machine learning', 'Software development life cycle', 'IC engines', 'Industrial machinery']"
DS,NLP Data Scientist,3-5 Yrs ,,,Minimum of 3 years of experience will be considered Skills & Attitude: Excellent analyt...,"['Technical product configuration', 'c++', 'C', 'design', 'MySQL', 'JavaScript', 'integration PHP', 'HTML']"
DS,Data Scientist - MLB,2-3 Yrs ,,,BTech graduate Be building mathematical models and implementing it in Python (preferabl...,"['IT services', 'Logistic regression', 'Head Business Development', 'SAS', 'Machine learning', 'Vendor', 'Forecasting', 'CRM']"
DS,Data Scientist,5-10 Yrs ,,,Very good knowledge of NLP and building Recommendations . Good Programming skills in Py...,"['Usage', 'data science', 'spark', 'Programming', 'Python', 'data', 'program', 'science']"
DS,Data Scientist Web Analytics,10-12 Yrs ,,,Needs to have hands on coding and data modelling skills and have demonstrated experienc...,"['Web analytics', 'Coding', 'Data modeling', 'E-commerce', 'HTML', 'HR', 'Data analytics', 'Data']"
DS,Data Scientist Predictive Modelling,10-12 Yrs ,,,"BE / BTech from IIT, NIT and other premier institutes. Ph.d. would be considered advant...","['Data modeling', 'Coding', 'E-commerce', 'Predictive modeling', 'HTML', 'HR', 'Data', 'Hrsd']"
DS,Data Scientist - AI ML Team,8-13 Yrs ,,,"Experience working as part of a product team, along with engineers and product managers...","['Computer science', 'Automation', 'Artificial Intelligence', 'Machine learning', 'Data collection', 'Risk management', 'Monitoring', 'SQL']"
DS,Data Scientist,1-3 Yrs ,,,". Good applied statistics skills, such as distributions, statistical testing, regressio...","['NoSQL', 'Wealth management', 'Analytical', 'Finance', 'Machine learning', 'Programming', 'Medical insurance', 'Statistics']"
DS,Data Scientist,2-6 Yrs ,,,You should be excited about the idea of solving different data science challenges every...,"['Training', 'SAN', 'Data analysis', 'Backend', 'data science', 'Machine learning', 'Venture capital', 'Equity']"
DS,Senior Geo-Spatial Data Scientist,3-8 Yrs ,,,"Educational Qualifications: . Masters / PhD in either Mathematics, Computer Science, Da...","['GIS', 'Image processing', 'Analytical', 'Industrial products', 'Machine learning', 'Debugging', 'Open source', 'Remote sensing']"
DS,Data Scientist,3-10 Yrs ,,,"Bachelor s, Master s or PhD in Computer Science, Mathematics, Statistics, Operations Re...","['Computer science', 'Automation', 'Operations research', 'SAS SQL', 'Artificial Intelligence', 'Machine learning', 'MATLAB', 'Gaming']"
DS,Data Scientist,3-10 Yrs ,,,"Bachelor s, Master s or PhD in Computer Science, Mathematics, Statistics, Operations Re...","['Computer science', 'Automation', 'Operations research', 'SAS SQL', 'Artificial Intelligence', 'Machine learning', 'MATLAB', 'Gaming']"
DS,Image Processing Engineer,2-4 Yrs ,,,"Bachelor s degree in Computer Science, Information Science or any relevant fields Must ...","['Computer vision', 'C++', 'Image processing', 'data science', 'Agile', 'Data structures', 'Application development', 'Scrum']"
DS,Data Scientist,2-7 Yrs ,,,"Required Characteristics: . . MSc or PhD in Computer Science, Data Science, Machine Lea...","['Cloud computing', 'C++', 'Data analysis', 'Data modeling', 'Agile', 'Data structures', 'Application development', 'Scrum']"
DS,Computer Vision Engineer,2-7 Yrs ,,,"Required Characteristics: . . MSc or PhD in Computer Science, Data Science, Machine Lea...","['Computer vision', 'Cloud computing', 'C++', 'Image processing', 'Machine learning', 'Agile', 'Data structures', 'Application development']"
DS,Senior Data Scientist,4-9 Yrs ,,,Experience in risk and credit score domains preferred . 4+ year experience in advanced...,"['Data Science', 'Hive', 'Data Scientist', 'Hadoop', 'Big Data', 'Data Collection', 'Spark', 'Python']"
DS,Senior Data Scientist,3-8 Yrs ,,,"Bayesian inference) . Ability and experience in extracting insights from data, and summ...","['data science', 'Web analytics', 'Data modeling', 'Consulting', 'Intellectual property', 'Product strategy', 'Logistics', 'SQL']"
DS,Data Scientist,8-10 Yrs ,,,". Data Modelling, Algorithms, requiredHands on role only. Job Responsibilities: . 8 - 1...","['Base SAS', 'Excel', 'data science', 'Data modeling', 'SQL', 'Python', 'data', 'base']"
DS,Data Scientist,3-5 Yrs ,,,Develop data processing scripts using SQL and be able to optimize complex sequence...,"['Supply chain', 'Engineering services', 'SAN', 'Data analysis', 'Data modeling', 'Project management', 'Consulting', 'MySQL']"
DS,Data Scientist,6-10 Yrs ,,,Development experience on GCP (Big query and Vertex AI) and good to have AWS knowledge ...,"['C++', 'data science', 'Data modeling', 'Staffing', 'GCP', 'Machine learning', 'Data structures', 'Perl']"
DS,HT - Advanced Analytics Expert - Data Scientist,6-11 Yrs ,,,". Education and Experience Required: . PhD degree in Statistics, Operations Research, C...","['Computer science', 'Operations research', 'Machine learning', 'Ab Initio', 'Informatica', 'SPSS', 'QlikView', 'Unix shell scripting']"
DS,Data scientist -specialist,6-12 Yrs ,,,Education and Experience Required: BE/MS in Computer Science from ...,"['Computer science', 'deep learning', 'spark', 'Neural networks', 'Storage management', 'Machine learning', 'model development', 'Application development']"
DS,Sr Data Scientist,5-10 Yrs ,,,"Masters or equivalent experience in Computer Science, Data Science, Statistics, or a re...","['Data analysis', 'Data management', 'Machine learning', 'SCALA', 'Data processing', 'Data quality', 'Data mining', 'SQL']"
DS,Data Scientist,4-6 Yrs ,,,"Proven Expertise building and validating personalization, recommendation, and / or news...","['Economics', 'advanced analytics', 'data science', 'Architecture', 'Machine learning', 'Database', 'Predictive modeling', 'Customer experience']"
DS,Data Scientist,3-3 Yrs ,,,"Knowledge of programming languages like SQL, Oracle, R, MATLAB.Proficient in Python and...","['Business objects', 'SAS', 'XML', 'MySQL', 'Javascript', 'Data collection', 'Data processing', 'Data Analyst']"
DS,DATA SCIENTIST,2-6 Yrs ,,,. We are looking for someone with a passion for research and belief in bringing major s...,"['Research', 'Data']"
DS,Engineer (Yield/Integration),1-6 Yrs ,,,This position is for a Data Scientist role to contribute as principal technical exper...,"['Automation', 'Prototype', 'Coding', 'SCALA', 'Instrumentation', 'Open source', 'Data mining', 'Analytics']"
DS,Senior Data Scientist Scipher,10-12 Yrs ,,,The experience (which may be gained concurrently) must also include each of the followi...,"['Renewable energy', 'Analytical', 'Machine learning', 'Agile', 'Genetics', 'Data mining', 'Continuous improvement', 'SCADA']"
DS,Senior Data Scientist,4-7 Yrs ,,,Demonstrated ability to work well in a global team environment . Should be self-starter...,"['Product management', 'data cleansing', 'Operations research', 'Data modeling', 'Time series analysis', 'Machine learning', 'Software development life cycle', 'Industrial machinery']"
DS,Data Scientist,4-6 Yrs ,,,Education/ Experience and Skill Requirement 4-6 years of relevant experience in...,"['Data analysis', 'Excel', 'Bloomberg', 'data science', 'Coding', 'Machine learning', 'Data quality', 'Analytics']"
DS,Data Scientist - III,5-10 Yrs ,,,Academic background: Tier 1 school (IIT / BITS/IIIT / NIT) or proven ability with analy...,"['deep learning', 'data science', 'Networking', 'Analytical', 'Machine learning', 'Healthcare', 'Information retrieval', 'Natural language processing']"
DS,Data Scientist,3-5 Yrs ,,,3+ years of professional experience as a data scientist or related role . Strong knowle...,"['tableau', 'data science', 'SQL database', 'Security systems', 'Physical security', 'Management', 'Data warehousing', 'Python']"
DS,Data Scientist,8-11 Yrs ,,,"graduate degree in Data Science or other quantitative field is preferred In this role, ...","['C++', 'Operations research', 'Analytical', 'Machine learning', 'Data collection', 'Business intelligence', 'Data mining', 'SQL']"
DS,Data Scientist/Lead Data Scientist - Academic Operations,2-7 Yrs ,,,. Own the quality of end to end learning experience for our global flagship programs in...,"['Statistical modeling', 'Quality improvement', 'data science', 'Artificial Intelligence', 'Machine learning', 'Open source', 'Technical support', 'Analytics']"
DS,Data Scientist,3-7 Yrs ,,,"Bachelor Degree in Math, Statistics, Business, Technology, or related years of experien...","['Strategy consulting', 'deep learning', 'Data modeling', 'Machine learning', 'Manager Technology', 'Workflow', 'Project delivery', 'Statistics']"
DS,Data Scientist,2-5 Yrs ,,,Excellent collaboration skills and working comfortably across product team and Customer...,"['IT services', 'SAN', 'Operations research', 'Production planning', 'Analytical', 'Consulting', 'SMS', 'CRM']"
DS,Data Scientist,8-10 Yrs ,,,We won't track your information when you decline. But in order to comply with your pre...,"['Mining', 'Text mining', 'Logistic regression', 'Machine learning', 'Data mining', 'Continuous improvement', 'Open source', 'Forecasting']"
DS,"Data Scientist, Lead",4-9 Yrs ,,,The Data Science team delivers best in class actionable business insights through cut...,"['Data analysis', 'Team management', 'data science', 'SAS', 'Predictive modeling', 'Risk management', 'Data mining', 'Forecasting']"
DS,Data Scientist,12-15 Yrs ,,,Development experience on GCP (Big query and Vertex AI) and good to have AWS knowledge ...,"['C++', 'Data modeling', 'Staffing', 'GCP', 'Database management', 'Programming', 'Data structures', 'Perl']"
DS,Sr. Data Scientist,10-15 Yrs ,,,. Strong R / Python programming skills and work experience in Unix / Linux environment ...,"['Unix', 'Linux', 'Staffing', 'Time management', 'Project management', 'Analytical', 'data visualization', 'Bioinformatics']"
DS,Data Scientist - Healthcare Analytics,12-15 Yrs ,,,. Proficiency in one or more modern programming languages (Python) . Creative Problem s...,"['Staffing', 'Machine learning', 'Programming', 'healthcare analytics', 'Troubleshooting', 'Analytics', 'Reporting tools', 'SQL']"
DS,Senior Data Scientist,4-8 Yrs ,,,"Professional Qualification . related field such as Computer Science, Data Science, Stat...","['Computer science', 'Team management', 'data science', 'Business analysis', 'Artificial Intelligence', 'Underwriting', 'Machine learning', 'Statistics']"
DS,Data Scientist,10-12 Yrs ,,,"Excellent understanding of machine learning techniques and algorithms, such as k-NN, Na...","['data science', 'Coding', 'Data modeling', 'Agile development', 'MySQL', 'Machine learning', 'test driven development', 'MATLAB']"
DS,Data Scientist / Advanced Analytics - Machine Learning,1-5 Yrs ,,,"Data Scientist / Advanced Analytics - Machine Learning, Python, Predictive Analysis, St...","['advanced analytics', 'deep learning', 'Artificial Intelligence', 'R Programming', 'Machine learning', 'Python', 'Program', 'Data analytics']"
DS,Manager - Data Science,5-7 Yrs ,,,". Bachelors degree in Business, Computer Science, Computer Information Systems, Enginee...","['Product engineering', 'Project management', 'Analytical', 'Business analytics', 'Consulting', 'Billing', 'Business intelligence', 'Forecasting']"
DS,Sr . Data Scientist,3-10 Yrs ,,,Minimum 2-year Experience with Time-Series forecasting and recommender systemExperience...,"['Computer science', 'Operations research', 'data science', 'Analytical', 'Demand forecasting', 'Machine learning', 'Data structures', 'Forecasting']"
DS,Data Scientist,3-8 Yrs ,,,"Bachelor s degree in Mathematics, Computer Science, Data Science, Applied Statistics, o...","['Computer science', 'SAS', 'Process improvement', 'Machine learning', 'Resource allocation', 'data visualization', 'Data mining', 'Analytics']"
DS,Data Scientist,2-4 Yrs ,,,Experience with python Experience with ETL Experience with Statistical Analysis,"['PDF', 'Statistical analysis', 'Machine learning', 'MS Word', 'data visualization', 'Python', 'Data', 'Statistics']"
DS,Data Scientist-Health Care Analytics,5-12 Yrs ,,,"Master s or Bachelor s degree in Computer Science or STEM (Science, Technology, Enginee...","['Staffing', 'Machine learning', 'Programming', 'Troubleshooting', 'big data', 'Reporting tools', 'SQL', 'Python']"
DS,Data Scientist,1-6 Yrs ,,,Identify valuable data sources and automate collection processes Undertake prep...,"['Operations research', 'Analytical', 'Social media', 'Relationship building', 'Machine learning', 'Data mining', 'Business intelligence', 'SQL']"
DS,Data Scientist,12-15 Yrs ,,,"Undertaking data collection, preprocessing and analysis Building models to address ...","['Machine learning', 'Data collection', 'data visualization', 'Data', 'Machine', 'Collections']"
