profile,tech_stack,tobeclusteredcolumn
DS,"[Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]","DS [Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]"
DS,"[Business services, Analytical, microsoft, Powerpoint, Continuous improvement, Forecasting, Operations, SQL]","DS [Business services, Analytical, microsoft, Powerpoint, Continuous improvement, Forecasting, Operations, SQL]"
DS,"[Supply chain, Procurement, Product management, Production planning, Project management, Analytical, Consulting, Project delivery]","DS [Supply chain, Procurement, Product management, Production planning, Project management, Analytical, Consulting, Project delivery]"
DS,"[data scientist, Pyspark, deep learning, MLOPS, Data science, machine learning, Python, SQL]","DS [data scientist, Pyspark, deep learning, MLOPS, Data science, machine learning, Python, SQL]"
DS,"[Data Science, Tensorflow, Cnn, Decision Tree, Artificial Intelligence, Natural Language Processing, Neural Networks, Machine Learning]","DS [Data Science, Tensorflow, Cnn, Decision Tree, Artificial Intelligence, Natural Language Processing, Neural Networks, Machine Learning]"
DS,"[Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]","DS [Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]"
DS,"[Supply chain, SAN, Data analysis, Project management, Consulting, SMS, Analytics, Private equity]","DS [Supply chain, SAN, Data analysis, Project management, Consulting, SMS, Analytics, Private equity]"
DS,"[Computer science, GIT, Project management, Machine learning, Agile, Business intelligence, Data mining, Analytics]","DS [Computer science, GIT, Project management, Machine learning, Agile, Business intelligence, Data mining, Analytics]"
DS,"[Artificial Intelligence, Python, Azure, Natural Language Processing, AWS, Microsoft Azure, Intelligence, Data]","DS [Artificial Intelligence, Python, Azure, Natural Language Processing, AWS, Microsoft Azure, Intelligence, Data]"
DS,"[Machine Learning, Python, SQL, Power Bi, Tableau, Statistics, Bi, SR]","DS [Machine Learning, Python, SQL, Power Bi, Tableau, Statistics, Bi, SR]"
DS,"[Data Science, SCALA, Pyspark, TS, Science, Data]","DS [Data Science, SCALA, Pyspark, TS, Science, Data]"
DS,"[IT services, MIN, data science, Finance, Banking, Science, Data]","DS [IT services, MIN, data science, Finance, Banking, Science, Data]"
DS,"[IT services, Analytical skills, deep learning, Statistical analysis, Data modeling, Database design, Analytical, Machine learning]","DS [IT services, Analytical skills, deep learning, Statistical analysis, Data modeling, Database design, Analytical, Machine learning]"
DS,"[SAN, Data analysis, Publishing, GIT, MySQL, Customer retention, Scheduling, Data mining]","DS [SAN, Data analysis, Publishing, GIT, MySQL, Customer retention, Scheduling, Data mining]"
DS,"[Unix, Linux, Coding, Machine learning, Customer service, Analytics, SQL, Python]","DS [Unix, Linux, Coding, Machine learning, Customer service, Analytics, SQL, Python]"
DS,"[Coding, Project management, Process improvement, Machine learning, Data collection, SIP, Stakeholder management, Release management]","DS [Coding, Project management, Process improvement, Machine learning, Data collection, SIP, Stakeholder management, Release management]"
DS,"[Computer science, Business services, Data analysis, Business analytics, Machine learning, Actuarial, Risk management, Portfolio management]","DS [Computer science, Business services, Data analysis, Business analytics, Machine learning, Actuarial, Risk management, Portfolio management]"
DS,"[Data analysis, data science, Machine learning, Hypothesis Testing, Predictive modeling, Data quality, Regression analysis, data visualization]","DS [Data analysis, data science, Machine learning, Hypothesis Testing, Predictive modeling, Data quality, Regression analysis, data visualization]"
DS,"[Natural Language Processing, Demand Forecasting, Machine Learning, Deep Learning, Python, Predictive Modeling, Logistic Regression, Time Series Analysis]","DS [Natural Language Processing, Demand Forecasting, Machine Learning, Deep Learning, Python, Predictive Modeling, Logistic Regression, Time Series Analysis]"
DS,"[natural language processing, Content search, Semantic search, Elasticsearch, Query expansion, text mining, data engineering, Searching]","DS [natural language processing, Content search, Semantic search, Elasticsearch, Query expansion, text mining, data engineering, Searching]"
DS,"[Machine Learning, Deep Learning, Python, SQL, SQL Queries, Query, Machine, Data]","DS [Machine Learning, Deep Learning, Python, SQL, SQL Queries, Query, Machine, Data]"
DS,"[Supply chain, Product management, Data analysis, Data modeling, Project management, Analytical, Consulting, Management consulting]","DS [Supply chain, Product management, Data analysis, Data modeling, Project management, Analytical, Consulting, Management consulting]"
DS,"[Python, Tensorflow, Predictive Modeling, Matplotlib, Pyspark, Natural Language Processing, Neural Networks, Machine Learning]","DS [Python, Tensorflow, Predictive Modeling, Matplotlib, Pyspark, Natural Language Processing, Neural Networks, Machine Learning]"
DS,"[Automation, metadata, Managed services, Prototype, Linux, Image processing, Coding, Machine learning]","DS [Automation, metadata, Managed services, Prototype, Linux, Image processing, Coding, Machine learning]"
DS,"[Data Science, GenAI, python, llm, artificial intelligence, r, nlp, java]","DS [Data Science, GenAI, python, llm, artificial intelligence, r, nlp, java]"
DS,"[Supply chain, Engineering services, deep learning, SAN, data science, Data modeling, Project management, Consulting]","DS [Supply chain, Engineering services, deep learning, SAN, data science, Data modeling, Project management, Consulting]"
DS,"[Coding, GCP, Machine learning, Javascript, Workflow, Deployment, AWS, Bpm]","DS [Coding, GCP, Machine learning, Javascript, Workflow, Deployment, AWS, Bpm]"
DS,"[Java, C++, Data Scientist, Artificial Intelligence, Machine Learning, Data Management, Algorithm, Data Structure]","DS [Java, C++, Data Scientist, Artificial Intelligence, Machine Learning, Data Management, Algorithm, Data Structure]"
DS,"[Java, Data Mining, Machine Learning, NLP, Python, C++, software development, SAS]","DS [Java, Data Mining, Machine Learning, NLP, Python, C++, software development, SAS]"
DS,"[Image Processing, AFE, C/C++, 2D/3D Biometric Applications, product cycle, image analysis algorithms, Process, Biometrics]","DS [Image Processing, AFE, C/C++, 2D/3D Biometric Applications, product cycle, image analysis algorithms, Process, Biometrics]"
DS,"[Python, Java, C++, Artificial General Intelligence, Artificial Intelligence, Neural Networks, data structures, Machine Learning]","DS [Python, Java, C++, Artificial General Intelligence, Artificial Intelligence, Neural Networks, data structures, Machine Learning]"
DS,"[Machine Learning, Java, C++, R, eCommerce, Data Scientist, Data Management, Perl]","DS [Machine Learning, Java, C++, R, eCommerce, Data Scientist, Data Management, Perl]"
DS,"[IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]","DS [IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]"
DS,"[IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]","DS [IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]"
DS,"[Power BI, Azure, Time series Forecasting, Predictive Maintenance, Data Scientist, Tableau, AWS, Optimization]","DS [Power BI, Azure, Time series Forecasting, Predictive Maintenance, Data Scientist, Tableau, AWS, Optimization]"
DS,"[Python, Statistical modeling, data science, Coding, Time series analysis, Machine learning, Data processing, SQL]","DS [Python, Statistical modeling, data science, Coding, Time series analysis, Machine learning, Data processing, SQL]"
DS,"[Machine learning, Data collection, data visualization, Collections, Data, Machine, Sports]","DS [Machine learning, Data collection, data visualization, Collections, Data, Machine, Sports]"
DS,"[MS SQL, data science, RDBMS, MySQL, Agile, CMMI, Healthcare, HTML]","DS [MS SQL, data science, RDBMS, MySQL, Agile, CMMI, Healthcare, HTML]"
DS,"[data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, IC engines, Industrial machinery]","DS [data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, IC engines, Industrial machinery]"
DS,"[Technical product configuration, c++, C, design, MySQL, JavaScript, integration PHP, HTML]","DS [Technical product configuration, c++, C, design, MySQL, JavaScript, integration PHP, HTML]"
DS,"[IT services, Logistic regression, Head Business Development, SAS, Machine learning, Vendor, Forecasting, CRM]","DS [IT services, Logistic regression, Head Business Development, SAS, Machine learning, Vendor, Forecasting, CRM]"
DS,"[Usage, data science, spark, Programming, Python, data, program, science]","DS [Usage, data science, spark, Programming, Python, data, program, science]"
DS,"[Web analytics, Coding, Data modeling, E-commerce, HTML, HR, Data analytics, Data]","DS [Web analytics, Coding, Data modeling, E-commerce, HTML, HR, Data analytics, Data]"
DS,"[Data modeling, Coding, E-commerce, Predictive modeling, HTML, HR, Data, Hrsd]","DS [Data modeling, Coding, E-commerce, Predictive modeling, HTML, HR, Data, Hrsd]"
DS,"[Computer science, Automation, Artificial Intelligence, Machine learning, Data collection, Risk management, Monitoring, SQL]","DS [Computer science, Automation, Artificial Intelligence, Machine learning, Data collection, Risk management, Monitoring, SQL]"
DS,"[NoSQL, Wealth management, Analytical, Finance, Machine learning, Programming, Medical insurance, Statistics]","DS [NoSQL, Wealth management, Analytical, Finance, Machine learning, Programming, Medical insurance, Statistics]"
DS,"[Training, SAN, Data analysis, Backend, data science, Machine learning, Venture capital, Equity]","DS [Training, SAN, Data analysis, Backend, data science, Machine learning, Venture capital, Equity]"
DS,"[GIS, Image processing, Analytical, Industrial products, Machine learning, Debugging, Open source, Remote sensing]","DS [GIS, Image processing, Analytical, Industrial products, Machine learning, Debugging, Open source, Remote sensing]"
DS,"[Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]","DS [Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]"
DS,"[Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]","DS [Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]"
DS,"[Computer vision, C++, Image processing, data science, Agile, Data structures, Application development, Scrum]","DS [Computer vision, C++, Image processing, data science, Agile, Data structures, Application development, Scrum]"
DS,"[Cloud computing, C++, Data analysis, Data modeling, Agile, Data structures, Application development, Scrum]","DS [Cloud computing, C++, Data analysis, Data modeling, Agile, Data structures, Application development, Scrum]"
DS,"[Computer vision, Cloud computing, C++, Image processing, Machine learning, Agile, Data structures, Application development]","DS [Computer vision, Cloud computing, C++, Image processing, Machine learning, Agile, Data structures, Application development]"
DS,"[Data Science, Hive, Data Scientist, Hadoop, Big Data, Data Collection, Spark, Python]","DS [Data Science, Hive, Data Scientist, Hadoop, Big Data, Data Collection, Spark, Python]"
DS,"[data science, Web analytics, Data modeling, Consulting, Intellectual property, Product strategy, Logistics, SQL]","DS [data science, Web analytics, Data modeling, Consulting, Intellectual property, Product strategy, Logistics, SQL]"
DS,"[Base SAS, Excel, data science, Data modeling, SQL, Python, data, base]","DS [Base SAS, Excel, data science, Data modeling, SQL, Python, data, base]"
DS,"[Supply chain, Engineering services, SAN, Data analysis, Data modeling, Project management, Consulting, MySQL]","DS [Supply chain, Engineering services, SAN, Data analysis, Data modeling, Project management, Consulting, MySQL]"
DS,"[C++, data science, Data modeling, Staffing, GCP, Machine learning, Data structures, Perl]","DS [C++, data science, Data modeling, Staffing, GCP, Machine learning, Data structures, Perl]"
DS,"[Computer science, Operations research, Machine learning, Ab Initio, Informatica, SPSS, QlikView, Unix shell scripting]","DS [Computer science, Operations research, Machine learning, Ab Initio, Informatica, SPSS, QlikView, Unix shell scripting]"
DS,"[Computer science, deep learning, spark, Neural networks, Storage management, Machine learning, model development, Application development]","DS [Computer science, deep learning, spark, Neural networks, Storage management, Machine learning, model development, Application development]"
DS,"[Data analysis, Data management, Machine learning, SCALA, Data processing, Data quality, Data mining, SQL]","DS [Data analysis, Data management, Machine learning, SCALA, Data processing, Data quality, Data mining, SQL]"
DS,"[Economics, advanced analytics, data science, Architecture, Machine learning, Database, Predictive modeling, Customer experience]","DS [Economics, advanced analytics, data science, Architecture, Machine learning, Database, Predictive modeling, Customer experience]"
DS,"[Business objects, SAS, XML, MySQL, Javascript, Data collection, Data processing, Data Analyst]","DS [Business objects, SAS, XML, MySQL, Javascript, Data collection, Data processing, Data Analyst]"
DS,"[Research, Data]","DS [Research, Data]"
DS,"[Automation, Prototype, Coding, SCALA, Instrumentation, Open source, Data mining, Analytics]","DS [Automation, Prototype, Coding, SCALA, Instrumentation, Open source, Data mining, Analytics]"
DS,"[Renewable energy, Analytical, Machine learning, Agile, Genetics, Data mining, Continuous improvement, SCADA]","DS [Renewable energy, Analytical, Machine learning, Agile, Genetics, Data mining, Continuous improvement, SCADA]"
DS,"[Product management, data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, Industrial machinery]","DS [Product management, data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, Industrial machinery]"
DS,"[Data analysis, Excel, Bloomberg, data science, Coding, Machine learning, Data quality, Analytics]","DS [Data analysis, Excel, Bloomberg, data science, Coding, Machine learning, Data quality, Analytics]"
DS,"[deep learning, data science, Networking, Analytical, Machine learning, Healthcare, Information retrieval, Natural language processing]","DS [deep learning, data science, Networking, Analytical, Machine learning, Healthcare, Information retrieval, Natural language processing]"
DS,"[tableau, data science, SQL database, Security systems, Physical security, Management, Data warehousing, Python]","DS [tableau, data science, SQL database, Security systems, Physical security, Management, Data warehousing, Python]"
DS,"[C++, Operations research, Analytical, Machine learning, Data collection, Business intelligence, Data mining, SQL]","DS [C++, Operations research, Analytical, Machine learning, Data collection, Business intelligence, Data mining, SQL]"
DS,"[Statistical modeling, Quality improvement, data science, Artificial Intelligence, Machine learning, Open source, Technical support, Analytics]","DS [Statistical modeling, Quality improvement, data science, Artificial Intelligence, Machine learning, Open source, Technical support, Analytics]"
DS,"[Strategy consulting, deep learning, Data modeling, Machine learning, Manager Technology, Workflow, Project delivery, Statistics]","DS [Strategy consulting, deep learning, Data modeling, Machine learning, Manager Technology, Workflow, Project delivery, Statistics]"
DS,"[IT services, SAN, Operations research, Production planning, Analytical, Consulting, SMS, CRM]","DS [IT services, SAN, Operations research, Production planning, Analytical, Consulting, SMS, CRM]"
DS,"[Mining, Text mining, Logistic regression, Machine learning, Data mining, Continuous improvement, Open source, Forecasting]","DS [Mining, Text mining, Logistic regression, Machine learning, Data mining, Continuous improvement, Open source, Forecasting]"
DS,"[Data analysis, Team management, data science, SAS, Predictive modeling, Risk management, Data mining, Forecasting]","DS [Data analysis, Team management, data science, SAS, Predictive modeling, Risk management, Data mining, Forecasting]"
DS,"[C++, Data modeling, Staffing, GCP, Database management, Programming, Data structures, Perl]","DS [C++, Data modeling, Staffing, GCP, Database management, Programming, Data structures, Perl]"
DS,"[Unix, Linux, Staffing, Time management, Project management, Analytical, data visualization, Bioinformatics]","DS [Unix, Linux, Staffing, Time management, Project management, Analytical, data visualization, Bioinformatics]"
DS,"[Staffing, Machine learning, Programming, healthcare analytics, Troubleshooting, Analytics, Reporting tools, SQL]","DS [Staffing, Machine learning, Programming, healthcare analytics, Troubleshooting, Analytics, Reporting tools, SQL]"
DS,"[Computer science, Team management, data science, Business analysis, Artificial Intelligence, Underwriting, Machine learning, Statistics]","DS [Computer science, Team management, data science, Business analysis, Artificial Intelligence, Underwriting, Machine learning, Statistics]"
DS,"[data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]","DS [data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]"
DS,"[advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python, Program, Data analytics]","DS [advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python, Program, Data analytics]"
DS,"[Product engineering, Project management, Analytical, Business analytics, Consulting, Billing, Business intelligence, Forecasting]","DS [Product engineering, Project management, Analytical, Business analytics, Consulting, Billing, Business intelligence, Forecasting]"
DS,"[Computer science, Operations research, data science, Analytical, Demand forecasting, Machine learning, Data structures, Forecasting]","DS [Computer science, Operations research, data science, Analytical, Demand forecasting, Machine learning, Data structures, Forecasting]"
DS,"[Computer science, SAS, Process improvement, Machine learning, Resource allocation, data visualization, Data mining, Analytics]","DS [Computer science, SAS, Process improvement, Machine learning, Resource allocation, data visualization, Data mining, Analytics]"
DS,"[PDF, Statistical analysis, Machine learning, MS Word, data visualization, Python, Data, Statistics]","DS [PDF, Statistical analysis, Machine learning, MS Word, data visualization, Python, Data, Statistics]"
DS,"[Staffing, Machine learning, Programming, Troubleshooting, big data, Reporting tools, SQL, Python]","DS [Staffing, Machine learning, Programming, Troubleshooting, big data, Reporting tools, SQL, Python]"
DS,"[Operations research, Analytical, Social media, Relationship building, Machine learning, Data mining, Business intelligence, SQL]","DS [Operations research, Analytical, Social media, Relationship building, Machine learning, Data mining, Business intelligence, SQL]"
DS,"[Machine learning, Data collection, data visualization, Data, Machine, Collections]","DS [Machine learning, Data collection, data visualization, Data, Machine, Collections]"
DS,"[Product management, Computer science, Simulation, Enterprise applications, Enterprise architecture, Project management, Machine learning, Agile]","DS [Product management, Computer science, Simulation, Enterprise applications, Enterprise architecture, Project management, Machine learning, Agile]"
DS,"[Data analysis, SAS, Coding, Machine learning, Perl, Ruby, Analytics, SQL]","DS [Data analysis, SAS, Coding, Machine learning, Perl, Ruby, Analytics, SQL]"
DS,"[Computer science, deep learning, Retail analytics, Machine learning, query, Programming, Forecasting, Monitoring]","DS [Computer science, deep learning, Retail analytics, Machine learning, query, Programming, Forecasting, Monitoring]"
DS,"[Data analysis, Financial inclusion, Analytical, Data collection, Database administration, Agile, Analytics, Monitoring]","DS [Data analysis, Financial inclusion, Analytical, Data collection, Database administration, Agile, Analytics, Monitoring]"
DS,"[tableau, data science, spark, Demand forecasting, Machine learning, Data structures, Object oriented programming, Statistics]","DS [tableau, data science, spark, Demand forecasting, Machine learning, Data structures, Object oriented programming, Statistics]"
DS,"[Product management, Postgresql, Analytical, MySQL, Machine learning, Signal processing, data visualization, Data mining]","DS [Product management, Postgresql, Analytical, MySQL, Machine learning, Signal processing, data visualization, Data mining]"
DS,"[Computer science, Simulation, Coding, Consulting, Javascript, HTTP, Data mining, Information technology]","DS [Computer science, Simulation, Coding, Consulting, Javascript, HTTP, Data mining, Information technology]"
DS,"[Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence]","DS [Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence]"
DS,"[Business objects, MS SQL, MySQL, Javascript, Business intelligence, microsoft, Open source, Information technology]","DS [Business objects, MS SQL, MySQL, Javascript, Business intelligence, microsoft, Open source, Information technology]"
DS,"[Telecom, data science, spark, Analytical, Intellectual property, Programming, Data quality, Research]","DS [Telecom, data science, spark, Analytical, Intellectual property, Programming, Data quality, Research]"
DS,"[Computer science, deep learning, Image processing, qlik sense, Time series analysis, Machine learning, Hypothesis Testing, data visualization]","DS [Computer science, deep learning, Image processing, qlik sense, Time series analysis, Machine learning, Hypothesis Testing, data visualization]"
DS,"[deep learning, Usage, data science, devops, Machine learning, Cloud, Data collection, Infrastructure]","DS [deep learning, Usage, data science, devops, Machine learning, Cloud, Data collection, Infrastructure]"
DS,"[Supply chain, Product management, data science, Project management, Analytical, Consulting, Management consulting, Machine learning]","DS [Supply chain, Product management, data science, Project management, Analytical, Consulting, Management consulting, Machine learning]"
DS,"[Administration, Business transformation, Operational excellence, Conflict resolution, Project management, Strategic planning, Agile, Healthcare]","DS [Administration, Business transformation, Operational excellence, Conflict resolution, Project management, Strategic planning, Agile, Healthcare]"
DS,"[RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]","DS [RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]"
DS,"[RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]","DS [RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]"
DS,"[customer analytics, Staffing, Machine learning, Troubleshooting, Open source, Analytics, Reporting tools, CRM]","DS [customer analytics, Staffing, Machine learning, Troubleshooting, Open source, Analytics, Reporting tools, CRM]"
DS,"[data science, Coding, Staffing, Machine learning, Technical leadership, model development, Resident Expert, Statistics]","DS [data science, Coding, Staffing, Machine learning, Technical leadership, model development, Resident Expert, Statistics]"
DS,"[RCA, Staffing, Social media, Machine learning, Healthcare, healthcare analytics, Troubleshooting, Reporting tools]","DS [RCA, Staffing, Social media, Machine learning, Healthcare, healthcare analytics, Troubleshooting, Reporting tools]"
DS,"[Text mining, Data analysis, Linux, Staffing, Analytical, Machine learning, Natural language processing, Forecasting]","DS [Text mining, Data analysis, Linux, Staffing, Analytical, Machine learning, Natural language processing, Forecasting]"
DS,"[deep learning, data science, Staffing, Analytical, Machine learning, Programming, Data mining, big data]","DS [deep learning, data science, Staffing, Analytical, Machine learning, Programming, Data mining, big data]"
DS,"[Computer science, Analytical, Machine learning, SCALA, Predictive modeling, data privacy, data visualization, Data mining]","DS [Computer science, Analytical, Machine learning, SCALA, Predictive modeling, data privacy, data visualization, Data mining]"
DS,"[Computer science, Analytical, Machine learning, Predictive modeling, Data mining, Business solutions, Information technology, Financial services]","DS [Computer science, Analytical, Machine learning, Predictive modeling, Data mining, Business solutions, Information technology, Financial services]"
DS,"[Computer science, Data analysis, SAS, MIS, Analytical, Research, Information technology, Analytics]","DS [Computer science, Data analysis, SAS, MIS, Analytical, Research, Information technology, Analytics]"
DS,"[Computer science, Data analysis, SAS, data science, MIS, Analytical, Data analytics, Information technology]","DS [Computer science, Data analysis, SAS, data science, MIS, Analytical, Data analytics, Information technology]"
DS,"[data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]","DS [data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]"
DS,"[Claims, Data management, Coding, Analytical, Pharma, Clinical research, Healthcare, Public health]","DS [Claims, Data management, Coding, Analytical, Pharma, Clinical research, Healthcare, Public health]"
DS,"[Computer science, Computer vision, deep learning, Neural networks, Data collection, model development, Statistics, Supervision]","DS [Computer science, Computer vision, deep learning, Neural networks, Data collection, model development, Statistics, Supervision]"
DS,"[Computer science, Neural networks, Analytical, Pharma, Machine learning, Healthcare, Data mining, Scientist D]","DS [Computer science, Neural networks, Analytical, Pharma, Machine learning, Healthcare, Data mining, Scientist D]"
