profile,tech_stack,tobeclusteredcolumn,cluster
DS,"[Business services, deep learning, C++, Claims, Analytical, Machine learning, Data collection, Actuarial]","DS [Business services, deep learning, C++, Claims, Analytical, Machine learning, Data collection, Actuarial]",1
DS,"[C++, Data analysis, SOC, Agile, Perl, Firmware, MATLAB, Analytics]","DS [C++, Data analysis, SOC, Agile, Perl, Firmware, MATLAB, Analytics]",1
DS,"[Computer science, Prototype, GIT, Analytical, Machine learning, Information retrieval, Data quality, Forecasting]","DS [Computer science, Prototype, GIT, Analytical, Machine learning, Information retrieval, Data quality, Forecasting]",1
DS,"[Operations research, Simulation, Data management, Analytical, German, Spanish, Continuous improvement, Analytics]","DS [Operations research, Simulation, Data management, Analytical, German, Spanish, Continuous improvement, Analytics]",1
DS,"[Computer vision, Performance tuning, deep learning, data science, Analytical, Machine learning, Packaging, Data structures]","DS [Computer vision, Performance tuning, deep learning, data science, Analytical, Machine learning, Packaging, Data structures]",1
DS,"[Text mining, Logistic regression, LMS, PDF, Machine learning, Healthcare, Data mining, Forecasting]","DS [Text mining, Logistic regression, LMS, PDF, Machine learning, Healthcare, Data mining, Forecasting]",1
DS,"[SAN, customer analytics, Analytical, Predictive modeling, Digital marketing, SQL, Python, Modeling]","DS [SAN, customer analytics, Analytical, Predictive modeling, Digital marketing, SQL, Python, Modeling]",1
DS,"[Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]","DS [Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]",1
DS,"[Business services, Analytical, microsoft, Powerpoint, Continuous improvement, Forecasting, Operations, SQL]","DS [Business services, Analytical, microsoft, Powerpoint, Continuous improvement, Forecasting, Operations, SQL]",3
DS,"[Supply chain, Procurement, Product management, Production planning, Project management, Analytical, Consulting, Project delivery]","DS [Supply chain, Procurement, Product management, Production planning, Project management, Analytical, Consulting, Project delivery]",3
DS,"[data scientist, Pyspark, deep learning, MLOPS, Data science, machine learning, Python, SQL]","DS [data scientist, Pyspark, deep learning, MLOPS, Data science, machine learning, Python, SQL]",1
DS,"[Data Science, Tensorflow, Cnn, Decision Tree, Artificial Intelligence, Natural Language Processing, Neural Networks, Machine Learning]","DS [Data Science, Tensorflow, Cnn, Decision Tree, Artificial Intelligence, Natural Language Processing, Neural Networks, Machine Learning]",1
DS,"[Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]","DS [Product management, Quality monitoring, Machine learning, Radiology, Healthcare, Natural language processing, Data quality, Continuous improvement]",1
DS,"[Supply chain, SAN, Data analysis, Project management, Consulting, SMS, Analytics, Private equity]","DS [Supply chain, SAN, Data analysis, Project management, Consulting, SMS, Analytics, Private equity]",1
DS,"[Computer science, GIT, Project management, Machine learning, Agile, Business intelligence, Data mining, Analytics]","DS [Computer science, GIT, Project management, Machine learning, Agile, Business intelligence, Data mining, Analytics]",1
DS,"[Artificial Intelligence, Python, Azure, Natural Language Processing, AWS, Microsoft Azure, Intelligence, Data]","DS [Artificial Intelligence, Python, Azure, Natural Language Processing, AWS, Microsoft Azure, Intelligence, Data]",1
DS,"[Machine Learning, Python, SQL, Power Bi, Tableau, Statistics, Bi, SR]","DS [Machine Learning, Python, SQL, Power Bi, Tableau, Statistics, Bi, SR]",1
DS,"[Data Science, SCALA, Pyspark, TS, Science, Data]","DS [Data Science, SCALA, Pyspark, TS, Science, Data]",1
DS,"[IT services, MIN, data science, Finance, Banking, Science, Data]","DS [IT services, MIN, data science, Finance, Banking, Science, Data]",1
DS,"[IT services, Analytical skills, deep learning, Statistical analysis, Data modeling, Database design, Analytical, Machine learning]","DS [IT services, Analytical skills, deep learning, Statistical analysis, Data modeling, Database design, Analytical, Machine learning]",1
DS,"[SAN, Data analysis, Publishing, GIT, MySQL, Customer retention, Scheduling, Data mining]","DS [SAN, Data analysis, Publishing, GIT, MySQL, Customer retention, Scheduling, Data mining]",1
DS,"[Unix, Linux, Coding, Machine learning, Customer service, Analytics, SQL, Python]","DS [Unix, Linux, Coding, Machine learning, Customer service, Analytics, SQL, Python]",1
DS,"[Coding, Project management, Process improvement, Machine learning, Data collection, SIP, Stakeholder management, Release management]","DS [Coding, Project management, Process improvement, Machine learning, Data collection, SIP, Stakeholder management, Release management]",1
DS,"[Computer science, Business services, Data analysis, Business analytics, Machine learning, Actuarial, Risk management, Portfolio management]","DS [Computer science, Business services, Data analysis, Business analytics, Machine learning, Actuarial, Risk management, Portfolio management]",1
DS,"[Data analysis, data science, Machine learning, Hypothesis Testing, Predictive modeling, Data quality, Regression analysis, data visualization]","DS [Data analysis, data science, Machine learning, Hypothesis Testing, Predictive modeling, Data quality, Regression analysis, data visualization]",1
DS,"[Natural Language Processing, Demand Forecasting, Machine Learning, Deep Learning, Python, Predictive Modeling, Logistic Regression, Time Series Analysis]","DS [Natural Language Processing, Demand Forecasting, Machine Learning, Deep Learning, Python, Predictive Modeling, Logistic Regression, Time Series Analysis]",1
DS,"[natural language processing, Content search, Semantic search, Elasticsearch, Query expansion, text mining, data engineering, Searching]","DS [natural language processing, Content search, Semantic search, Elasticsearch, Query expansion, text mining, data engineering, Searching]",1
DS,"[Machine Learning, Deep Learning, Python, SQL, SQL Queries, Query, Machine, Data]","DS [Machine Learning, Deep Learning, Python, SQL, SQL Queries, Query, Machine, Data]",1
DS,"[Supply chain, Product management, Data analysis, Data modeling, Project management, Analytical, Consulting, Management consulting]","DS [Supply chain, Product management, Data analysis, Data modeling, Project management, Analytical, Consulting, Management consulting]",1
DS,"[Python, Tensorflow, Predictive Modeling, Matplotlib, Pyspark, Natural Language Processing, Neural Networks, Machine Learning]","DS [Python, Tensorflow, Predictive Modeling, Matplotlib, Pyspark, Natural Language Processing, Neural Networks, Machine Learning]",1
DS,"[Automation, metadata, Managed services, Prototype, Linux, Image processing, Coding, Machine learning]","DS [Automation, metadata, Managed services, Prototype, Linux, Image processing, Coding, Machine learning]",1
DS,"[Data Science, GenAI, python, llm, artificial intelligence, r, nlp, java]","DS [Data Science, GenAI, python, llm, artificial intelligence, r, nlp, java]",1
DS,"[Supply chain, Engineering services, deep learning, SAN, data science, Data modeling, Project management, Consulting]","DS [Supply chain, Engineering services, deep learning, SAN, data science, Data modeling, Project management, Consulting]",1
DS,"[Coding, GCP, Machine learning, Javascript, Workflow, Deployment, AWS, Bpm]","DS [Coding, GCP, Machine learning, Javascript, Workflow, Deployment, AWS, Bpm]",1
DS,"[Java, C++, Data Scientist, Artificial Intelligence, Machine Learning, Data Management, Algorithm, Data Structure]","DS [Java, C++, Data Scientist, Artificial Intelligence, Machine Learning, Data Management, Algorithm, Data Structure]",1
DS,"[Java, Data Mining, Machine Learning, NLP, Python, C++, software development, SAS]","DS [Java, Data Mining, Machine Learning, NLP, Python, C++, software development, SAS]",1
DS,"[Image Processing, AFE, C/C++, 2D/3D Biometric Applications, product cycle, image analysis algorithms, Process, Biometrics]","DS [Image Processing, AFE, C/C++, 2D/3D Biometric Applications, product cycle, image analysis algorithms, Process, Biometrics]",3
DS,"[Python, Java, C++, Artificial General Intelligence, Artificial Intelligence, Neural Networks, data structures, Machine Learning]","DS [Python, Java, C++, Artificial General Intelligence, Artificial Intelligence, Neural Networks, data structures, Machine Learning]",1
DS,"[Machine Learning, Java, C++, R, eCommerce, Data Scientist, Data Management, Perl]","DS [Machine Learning, Java, C++, R, eCommerce, Data Scientist, Data Management, Perl]",1
DS,"[IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]","DS [IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]",1
DS,"[IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]","DS [IT services, Analytical, Machine learning, CMMI, Healthcare, Forecasting, Financial services, SQL]",1
DS,"[Power BI, Azure, Time series Forecasting, Predictive Maintenance, Data Scientist, Tableau, AWS, Optimization]","DS [Power BI, Azure, Time series Forecasting, Predictive Maintenance, Data Scientist, Tableau, AWS, Optimization]",1
DS,"[Python, Statistical modeling, data science, Coding, Time series analysis, Machine learning, Data processing, SQL]","DS [Python, Statistical modeling, data science, Coding, Time series analysis, Machine learning, Data processing, SQL]",1
DS,"[Machine learning, Data collection, data visualization, Collections, Data, Machine, Sports]","DS [Machine learning, Data collection, data visualization, Collections, Data, Machine, Sports]",1
DS,"[MS SQL, data science, RDBMS, MySQL, Agile, CMMI, Healthcare, HTML]","DS [MS SQL, data science, RDBMS, MySQL, Agile, CMMI, Healthcare, HTML]",1
DS,"[data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, IC engines, Industrial machinery]","DS [data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, IC engines, Industrial machinery]",1
DS,"[Technical product configuration, c++, C, design, MySQL, JavaScript, integration PHP, HTML]","DS [Technical product configuration, c++, C, design, MySQL, JavaScript, integration PHP, HTML]",3
DS,"[IT services, Logistic regression, Head Business Development, SAS, Machine learning, Vendor, Forecasting, CRM]","DS [IT services, Logistic regression, Head Business Development, SAS, Machine learning, Vendor, Forecasting, CRM]",1
DS,"[Usage, data science, spark, Programming, Python, data, program, science]","DS [Usage, data science, spark, Programming, Python, data, program, science]",1
DS,"[Web analytics, Coding, Data modeling, E-commerce, HTML, HR, Data analytics, Data]","DS [Web analytics, Coding, Data modeling, E-commerce, HTML, HR, Data analytics, Data]",1
DS,"[Data modeling, Coding, E-commerce, Predictive modeling, HTML, HR, Data, Hrsd]","DS [Data modeling, Coding, E-commerce, Predictive modeling, HTML, HR, Data, Hrsd]",1
DS,"[Computer science, Automation, Artificial Intelligence, Machine learning, Data collection, Risk management, Monitoring, SQL]","DS [Computer science, Automation, Artificial Intelligence, Machine learning, Data collection, Risk management, Monitoring, SQL]",1
DS,"[NoSQL, Wealth management, Analytical, Finance, Machine learning, Programming, Medical insurance, Statistics]","DS [NoSQL, Wealth management, Analytical, Finance, Machine learning, Programming, Medical insurance, Statistics]",1
DS,"[Training, SAN, Data analysis, Backend, data science, Machine learning, Venture capital, Equity]","DS [Training, SAN, Data analysis, Backend, data science, Machine learning, Venture capital, Equity]",1
DS,"[GIS, Image processing, Analytical, Industrial products, Machine learning, Debugging, Open source, Remote sensing]","DS [GIS, Image processing, Analytical, Industrial products, Machine learning, Debugging, Open source, Remote sensing]",1
DS,"[Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]","DS [Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]",1
DS,"[Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]","DS [Computer science, Automation, Operations research, SAS SQL, Artificial Intelligence, Machine learning, MATLAB, Gaming]",1
DS,"[Computer vision, C++, Image processing, data science, Agile, Data structures, Application development, Scrum]","DS [Computer vision, C++, Image processing, data science, Agile, Data structures, Application development, Scrum]",1
DS,"[Cloud computing, C++, Data analysis, Data modeling, Agile, Data structures, Application development, Scrum]","DS [Cloud computing, C++, Data analysis, Data modeling, Agile, Data structures, Application development, Scrum]",1
DS,"[Computer vision, Cloud computing, C++, Image processing, Machine learning, Agile, Data structures, Application development]","DS [Computer vision, Cloud computing, C++, Image processing, Machine learning, Agile, Data structures, Application development]",1
DS,"[Data Science, Hive, Data Scientist, Hadoop, Big Data, Data Collection, Spark, Python]","DS [Data Science, Hive, Data Scientist, Hadoop, Big Data, Data Collection, Spark, Python]",1
DS,"[data science, Web analytics, Data modeling, Consulting, Intellectual property, Product strategy, Logistics, SQL]","DS [data science, Web analytics, Data modeling, Consulting, Intellectual property, Product strategy, Logistics, SQL]",1
DS,"[Base SAS, Excel, data science, Data modeling, SQL, Python, data, base]","DS [Base SAS, Excel, data science, Data modeling, SQL, Python, data, base]",1
DS,"[Supply chain, Engineering services, SAN, Data analysis, Data modeling, Project management, Consulting, MySQL]","DS [Supply chain, Engineering services, SAN, Data analysis, Data modeling, Project management, Consulting, MySQL]",1
DS,"[C++, data science, Data modeling, Staffing, GCP, Machine learning, Data structures, Perl]","DS [C++, data science, Data modeling, Staffing, GCP, Machine learning, Data structures, Perl]",1
DS,"[Computer science, Operations research, Machine learning, Ab Initio, Informatica, SPSS, QlikView, Unix shell scripting]","DS [Computer science, Operations research, Machine learning, Ab Initio, Informatica, SPSS, QlikView, Unix shell scripting]",1
DS,"[Computer science, deep learning, spark, Neural networks, Storage management, Machine learning, model development, Application development]","DS [Computer science, deep learning, spark, Neural networks, Storage management, Machine learning, model development, Application development]",1
DS,"[Data analysis, Data management, Machine learning, SCALA, Data processing, Data quality, Data mining, SQL]","DS [Data analysis, Data management, Machine learning, SCALA, Data processing, Data quality, Data mining, SQL]",1
DS,"[Economics, advanced analytics, data science, Architecture, Machine learning, Database, Predictive modeling, Customer experience]","DS [Economics, advanced analytics, data science, Architecture, Machine learning, Database, Predictive modeling, Customer experience]",1
DS,"[Business objects, SAS, XML, MySQL, Javascript, Data collection, Data processing, Data Analyst]","DS [Business objects, SAS, XML, MySQL, Javascript, Data collection, Data processing, Data Analyst]",1
DS,"[Research, Data]","DS [Research, Data]",1
DS,"[Automation, Prototype, Coding, SCALA, Instrumentation, Open source, Data mining, Analytics]","DS [Automation, Prototype, Coding, SCALA, Instrumentation, Open source, Data mining, Analytics]",1
DS,"[Renewable energy, Analytical, Machine learning, Agile, Genetics, Data mining, Continuous improvement, SCADA]","DS [Renewable energy, Analytical, Machine learning, Agile, Genetics, Data mining, Continuous improvement, SCADA]",1
DS,"[Product management, data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, Industrial machinery]","DS [Product management, data cleansing, Operations research, Data modeling, Time series analysis, Machine learning, Software development life cycle, Industrial machinery]",1
DS,"[Data analysis, Excel, Bloomberg, data science, Coding, Machine learning, Data quality, Analytics]","DS [Data analysis, Excel, Bloomberg, data science, Coding, Machine learning, Data quality, Analytics]",1
DS,"[deep learning, data science, Networking, Analytical, Machine learning, Healthcare, Information retrieval, Natural language processing]","DS [deep learning, data science, Networking, Analytical, Machine learning, Healthcare, Information retrieval, Natural language processing]",1
DS,"[tableau, data science, SQL database, Security systems, Physical security, Management, Data warehousing, Python]","DS [tableau, data science, SQL database, Security systems, Physical security, Management, Data warehousing, Python]",1
DS,"[C++, Operations research, Analytical, Machine learning, Data collection, Business intelligence, Data mining, SQL]","DS [C++, Operations research, Analytical, Machine learning, Data collection, Business intelligence, Data mining, SQL]",1
DS,"[Statistical modeling, Quality improvement, data science, Artificial Intelligence, Machine learning, Open source, Technical support, Analytics]","DS [Statistical modeling, Quality improvement, data science, Artificial Intelligence, Machine learning, Open source, Technical support, Analytics]",1
DS,"[Strategy consulting, deep learning, Data modeling, Machine learning, Manager Technology, Workflow, Project delivery, Statistics]","DS [Strategy consulting, deep learning, Data modeling, Machine learning, Manager Technology, Workflow, Project delivery, Statistics]",1
DS,"[IT services, SAN, Operations research, Production planning, Analytical, Consulting, SMS, CRM]","DS [IT services, SAN, Operations research, Production planning, Analytical, Consulting, SMS, CRM]",3
DS,"[Mining, Text mining, Logistic regression, Machine learning, Data mining, Continuous improvement, Open source, Forecasting]","DS [Mining, Text mining, Logistic regression, Machine learning, Data mining, Continuous improvement, Open source, Forecasting]",1
DS,"[Data analysis, Team management, data science, SAS, Predictive modeling, Risk management, Data mining, Forecasting]","DS [Data analysis, Team management, data science, SAS, Predictive modeling, Risk management, Data mining, Forecasting]",1
DS,"[C++, Data modeling, Staffing, GCP, Database management, Programming, Data structures, Perl]","DS [C++, Data modeling, Staffing, GCP, Database management, Programming, Data structures, Perl]",1
DS,"[Unix, Linux, Staffing, Time management, Project management, Analytical, data visualization, Bioinformatics]","DS [Unix, Linux, Staffing, Time management, Project management, Analytical, data visualization, Bioinformatics]",1
DS,"[Staffing, Machine learning, Programming, healthcare analytics, Troubleshooting, Analytics, Reporting tools, SQL]","DS [Staffing, Machine learning, Programming, healthcare analytics, Troubleshooting, Analytics, Reporting tools, SQL]",1
DS,"[Computer science, Team management, data science, Business analysis, Artificial Intelligence, Underwriting, Machine learning, Statistics]","DS [Computer science, Team management, data science, Business analysis, Artificial Intelligence, Underwriting, Machine learning, Statistics]",1
DS,"[data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]","DS [data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]",1
DS,"[advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python, Program, Data analytics]","DS [advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python, Program, Data analytics]",1
DS,"[Product engineering, Project management, Analytical, Business analytics, Consulting, Billing, Business intelligence, Forecasting]","DS [Product engineering, Project management, Analytical, Business analytics, Consulting, Billing, Business intelligence, Forecasting]",1
DS,"[Computer science, Operations research, data science, Analytical, Demand forecasting, Machine learning, Data structures, Forecasting]","DS [Computer science, Operations research, data science, Analytical, Demand forecasting, Machine learning, Data structures, Forecasting]",1
DS,"[Computer science, SAS, Process improvement, Machine learning, Resource allocation, data visualization, Data mining, Analytics]","DS [Computer science, SAS, Process improvement, Machine learning, Resource allocation, data visualization, Data mining, Analytics]",1
DS,"[PDF, Statistical analysis, Machine learning, MS Word, data visualization, Python, Data, Statistics]","DS [PDF, Statistical analysis, Machine learning, MS Word, data visualization, Python, Data, Statistics]",1
DS,"[Staffing, Machine learning, Programming, Troubleshooting, big data, Reporting tools, SQL, Python]","DS [Staffing, Machine learning, Programming, Troubleshooting, big data, Reporting tools, SQL, Python]",1
DS,"[Operations research, Analytical, Social media, Relationship building, Machine learning, Data mining, Business intelligence, SQL]","DS [Operations research, Analytical, Social media, Relationship building, Machine learning, Data mining, Business intelligence, SQL]",1
DS,"[Machine learning, Data collection, data visualization, Data, Machine, Collections]","DS [Machine learning, Data collection, data visualization, Data, Machine, Collections]",1
DS,"[Product management, Computer science, Simulation, Enterprise applications, Enterprise architecture, Project management, Machine learning, Agile]","DS [Product management, Computer science, Simulation, Enterprise applications, Enterprise architecture, Project management, Machine learning, Agile]",1
DS,"[Data analysis, SAS, Coding, Machine learning, Perl, Ruby, Analytics, SQL]","DS [Data analysis, SAS, Coding, Machine learning, Perl, Ruby, Analytics, SQL]",1
DS,"[Computer science, deep learning, Retail analytics, Machine learning, query, Programming, Forecasting, Monitoring]","DS [Computer science, deep learning, Retail analytics, Machine learning, query, Programming, Forecasting, Monitoring]",1
DS,"[Data analysis, Financial inclusion, Analytical, Data collection, Database administration, Agile, Analytics, Monitoring]","DS [Data analysis, Financial inclusion, Analytical, Data collection, Database administration, Agile, Analytics, Monitoring]",1
DS,"[tableau, data science, spark, Demand forecasting, Machine learning, Data structures, Object oriented programming, Statistics]","DS [tableau, data science, spark, Demand forecasting, Machine learning, Data structures, Object oriented programming, Statistics]",1
DS,"[Product management, Postgresql, Analytical, MySQL, Machine learning, Signal processing, data visualization, Data mining]","DS [Product management, Postgresql, Analytical, MySQL, Machine learning, Signal processing, data visualization, Data mining]",1
DS,"[Computer science, Simulation, Coding, Consulting, Javascript, HTTP, Data mining, Information technology]","DS [Computer science, Simulation, Coding, Consulting, Javascript, HTTP, Data mining, Information technology]",1
DS,"[Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence]","DS [Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence]",1
DS,"[Business objects, MS SQL, MySQL, Javascript, Business intelligence, microsoft, Open source, Information technology]","DS [Business objects, MS SQL, MySQL, Javascript, Business intelligence, microsoft, Open source, Information technology]",3
DS,"[Telecom, data science, spark, Analytical, Intellectual property, Programming, Data quality, Research]","DS [Telecom, data science, spark, Analytical, Intellectual property, Programming, Data quality, Research]",1
DS,"[Computer science, deep learning, Image processing, qlik sense, Time series analysis, Machine learning, Hypothesis Testing, data visualization]","DS [Computer science, deep learning, Image processing, qlik sense, Time series analysis, Machine learning, Hypothesis Testing, data visualization]",1
DS,"[deep learning, Usage, data science, devops, Machine learning, Cloud, Data collection, Infrastructure]","DS [deep learning, Usage, data science, devops, Machine learning, Cloud, Data collection, Infrastructure]",1
DS,"[Supply chain, Product management, data science, Project management, Analytical, Consulting, Management consulting, Machine learning]","DS [Supply chain, Product management, data science, Project management, Analytical, Consulting, Management consulting, Machine learning]",1
DS,"[Administration, Business transformation, Operational excellence, Conflict resolution, Project management, Strategic planning, Agile, Healthcare]","DS [Administration, Business transformation, Operational excellence, Conflict resolution, Project management, Strategic planning, Agile, Healthcare]",3
DS,"[RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]","DS [RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]",3
DS,"[RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]","DS [RCA, customer analytics, Staffing, Social media, Healthcare, Troubleshooting, Open source, CRM]",3
DS,"[customer analytics, Staffing, Machine learning, Troubleshooting, Open source, Analytics, Reporting tools, CRM]","DS [customer analytics, Staffing, Machine learning, Troubleshooting, Open source, Analytics, Reporting tools, CRM]",1
DS,"[data science, Coding, Staffing, Machine learning, Technical leadership, model development, Resident Expert, Statistics]","DS [data science, Coding, Staffing, Machine learning, Technical leadership, model development, Resident Expert, Statistics]",1
DS,"[RCA, Staffing, Social media, Machine learning, Healthcare, healthcare analytics, Troubleshooting, Reporting tools]","DS [RCA, Staffing, Social media, Machine learning, Healthcare, healthcare analytics, Troubleshooting, Reporting tools]",1
DS,"[Text mining, Data analysis, Linux, Staffing, Analytical, Machine learning, Natural language processing, Forecasting]","DS [Text mining, Data analysis, Linux, Staffing, Analytical, Machine learning, Natural language processing, Forecasting]",1
DS,"[deep learning, data science, Staffing, Analytical, Machine learning, Programming, Data mining, big data]","DS [deep learning, data science, Staffing, Analytical, Machine learning, Programming, Data mining, big data]",1
DS,"[Computer science, Analytical, Machine learning, SCALA, Predictive modeling, data privacy, data visualization, Data mining]","DS [Computer science, Analytical, Machine learning, SCALA, Predictive modeling, data privacy, data visualization, Data mining]",1
DS,"[Computer science, Analytical, Machine learning, Predictive modeling, Data mining, Business solutions, Information technology, Financial services]","DS [Computer science, Analytical, Machine learning, Predictive modeling, Data mining, Business solutions, Information technology, Financial services]",1
DS,"[Computer science, Data analysis, SAS, MIS, Analytical, Research, Information technology, Analytics]","DS [Computer science, Data analysis, SAS, MIS, Analytical, Research, Information technology, Analytics]",1
DS,"[Computer science, Data analysis, SAS, data science, MIS, Analytical, Data analytics, Information technology]","DS [Computer science, Data analysis, SAS, data science, MIS, Analytical, Data analytics, Information technology]",1
DS,"[data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]","DS [data science, Coding, Data modeling, Agile development, MySQL, Machine learning, test driven development, MATLAB]",1
DS,"[Claims, Data management, Coding, Analytical, Pharma, Clinical research, Healthcare, Public health]","DS [Claims, Data management, Coding, Analytical, Pharma, Clinical research, Healthcare, Public health]",1
DS,"[Computer science, Computer vision, deep learning, Neural networks, Data collection, model development, Statistics, Supervision]","DS [Computer science, Computer vision, deep learning, Neural networks, Data collection, model development, Statistics, Supervision]",1
